Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
00042,="23:11:39,439",0x78558D5,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00043,="23:11:40,428",0x7857FD9,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00044,="23:11:41,449",0x785A6DD,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00045,="23:11:42,439",0x785CDF4,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00046,="23:11:43,460",0x785F4F8,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00047,="23:11:44,449",0x7861BFC,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00048,="23:11:47,659",0x786991A,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00049,="23:11:48,649",0x786C045,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00050,="23:11:49,669",0x786E7A4,ch1,Receive,0x0056,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00051,="23:11:50,689",0x7870F3C,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00052,="23:11:51,679",0x7873640,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00053,="23:11:52,669",0x7875D44,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00054,="23:11:53,689",0x7878447,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00055,="23:11:54,679",0x787AB5F,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00056,="23:11:55,669",0x787D263,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00057,="23:11:56,689",0x787F966,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00058,="23:11:57,678",0x788206A,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00059,="23:11:58,669",0x7884781,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00060,="23:11:59,688",0x7886E85,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00061,="23:12:00,679",0x7889589,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00062,="23:12:01,669",0x788BC8C,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00063,="23:12:02,689",0x788E3A4,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00064,="23:12:03,680",0x7890AA8,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00065,="23:12:06,889",0x789878A,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00066,="23:12:07,879",0x789AEB5,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00067,="23:12:08,899",0x789D614,ch1,Receive,0x0056,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00068,="23:12:09,918",0x789FD71,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00069,="23:12:10,909",0x78A2488,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00070,="23:12:11,899",0x78A4B8C,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00071,="23:12:12,920",0x78A7290,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00072,="23:12:13,909",0x78A9993,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00073,="23:12:14,900",0x78AC0AB,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
